stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,feedback_text.stopped,Feedback.stopped,ReRating.started,stim_image2.started,slider_final.started,key_resp_2.started,stim_image2.stopped,rating_prompt2.started,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,trials.key_resp_2.rt,trials.key_resp_2.duration,Debrief.started,debrief_text.started,key_debrief.started,debrief_text.stopped,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.007172000012360513,0.01144233311060816,0.01144233311060816,18.725014625000767,space,18.51958816696424,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_10.jpeg,agree,80.0,43,3,4,93.0,2.160277791088447,space,1.4098344589583576,None,93.0,0.9616871250327677,None,,,4,3,43,9,399.64875537506305,,,,,,,,,399.64218650001567,399.64875537506305,400.6241902500624,401.615996166016,402.11925804102793,402.61520554102026,403.03606958303135,93.0,2.160277791088447,space,1.4098344589583576,None,403.03885175008327,403.0449470410822,,406.03686795802787,406.0678316249978,406.07739620807115,406.07739620807115,,,,407.03993016609456,93.0,0.9616871250327677,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_03.jpeg,agree,80.0,44,4,4,93.0,2.1377668749773875,space,1.6557300420245156,None,93.0,0.9013569169910625,None,,,4,4,44,2,407.055211583036,,,,,,,,,407.04906554101035,407.055211583036,408.0389227080159,409.0368421660969,409.536650416092,410.0362144160317,410.69597308302764,93.0,2.1377668749773875,space,1.6557300420245156,None,410.6960416251095,410.7060813331045,413.721719083027,413.6935143750161,413.7119167080382,413.721719083027,413.721719083027,,,,414.6200374580221,93.0,0.9013569169910625,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_08.jpeg,agree,70.0,45,5,4,93.0,2.0677567499224097,space,0.8255415830062702,None,93.0,0.6103030829690397,None,,,4,5,45,7,414.647277833079,,,,,,,,,414.63926475006156,414.647277833079,415.61467245803215,416.61452470801305,417.1142565830378,,417.4458980410127,93.0,2.0677567499224097,space,0.8255415830062702,None,417.4483647500165,417.45336870802566,420.4737399161095,420.4367217080435,420.46465841610916,420.4737399161095,420.4737399161095,,,,421.08421983302105,93.0,0.6103030829690397,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_02.jpeg,disagree,20.0,46,6,4,71.0,1.8503297910792753,space,0.5778854580130428,None,11.0,1.6462340829893947,None,,,4,6,46,1,421.10142770805396,,,,,,,,,421.09444908308797,421.10142770805396,422.0770355410641,423.0744102500612,423.574469583109,,423.6602363330312,71.0,1.8503297910792753,space,0.5778854580130428,None,423.6630177909974,423.66860150010325,426.68055179109797,426.6533495000331,426.6703584580682,426.68055179109797,426.68055179109797,,,,428.32571512507275,11.0,1.6462340829893947,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_04.jpeg,agree,70.0,47,7,4,59.0,2.5057820830261335,space,0.8365616669179872,None,88.0,6.170555750024505,None,,,4,7,47,3,428.366395625053,,,,,,,,,428.35911345807835,428.366395625053,429.3234932910418,430.32251704100054,430.8201732500456,,431.1655240410473,59.0,2.5057820830261335,space,0.8365616669179872,None,431.1680087080458,431.1735893751029,,434.16657879110426,434.2172912081005,434.22557791601866,434.22557791601866,436.16341229109094,436.2198402500944,436.66345675010234,440.3980292080669,88.0,6.170555750024505,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_09.jpeg,disagree,50.0,48,8,4,64.0,1.323953292099759,space,0.4302669169846922,None,0.0,1.9080716249300167,None,,,4,8,48,8,440.41465929104015,,,,,,,,,440.40754300006665,440.41465929104015,441.3947713330854,442.3947905000532,,,442.82925208308734,64.0,1.323953292099759,space,0.4302669169846922,None,442.8320665830979,442.83829870808404,445.8459505410865,445.8266812500078,445.8390862500528,445.8459505410865,445.8459505410865,,,,447.75348775007296,0.0,1.9080716249300167,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_07.jpeg,neutral,65.0,49,9,4,10.0,2.149324250058271,space,0.992461167043075,None,3.0,1.752943625091575,None,,,4,9,49,6,447.7787561250152,,,,,,,,,447.77216483303346,447.7787561250152,448.74793700000737,449.7444455830846,450.24534879100975,450.8042154160794,450.79842195799574,10.0,2.149324250058271,space,0.992461167043075,None,450.80067041609436,450.8042154160794,453.82512070809025,453.7869853330776,453.81573916610796,453.82512070809025,453.82512070809025,,,,455.5748475000728,3.0,1.752943625091575,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_04.jpeg,agree,70.0,50,0,5,4.0,6.566584500018507,space,4.915482459007762,None,98.0,1.2349450829206035,None,,,5,0,50,3,455.6124372500926,,,,,,,,,455.60557645803783,455.6124372500926,456.5733343330212,457.57315475004725,458.071292208042,458.57036345801316,462.49069595802575,4.0,6.566584500018507,space,4.915482459007762,None,462.49327641609125,462.49935775005724,465.5444186660461,465.48475095804315,465.5357405000832,465.5444186660461,465.5444186660461,,,,466.7771751660621,98.0,1.2349450829206035,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_09.jpeg,disagree,50.0,51,1,5,2.0,2.655530708958395,space,2.7237320829881355,None,62.0,1.3300363749731332,None,,,5,1,51,8,466.79312316607684,,,,,,,,,466.7864075830439,466.79312316607684,467.7742949160747,468.76565420802217,469.2737878750777,469.76905250002164,471.49338841601275,2.0,2.655530708958395,space,2.7237320829881355,None,471.4965317910537,471.50260308303405,474.5023094160715,474.4852190830279,474.49560825002845,474.5023094160715,474.5023094160715,,,,475.83225466602016,62.0,1.3300363749731332,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
images/grating_01.jpeg,neutral,50.0,52,2,5,72.0,2.3586118750972673,space,2.901699332986027,None,55.0,2.7532159170368686,None,,,5,2,52,0,475.87039516610093,,,,,,,,,475.8636916250689,475.87039516610093,476.830348208081,477.8297154160682,478.3295809580013,478.81924587499816,480.7392534581013,72.0,2.3586118750972673,space,2.901699332986027,None,480.73930850008037,480.7448221660452,483.78736725007184,483.72870512504596,483.77885495801456,483.78736725007184,483.78736725007184,485.7283195410855,485.7781713330187,486.239049750031,486.5370403750567,55.0,2.7532159170368686,None,,,,,,,,,,,001,001,2025-11-14_16h45.15.849,Social Echo ,,2025.1.1,None,2025-11-14 16h45.56.132745 +0530,
