stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,Feedback.stopped,ReRating.started,slider_final.started,stim_image2.started,key_resp_2.started,rating_prompt2.started,stim_image2.stopped,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,feedback_text.stopped,trials.key_resp_2.rt,trials.key_resp_2.duration,Debrief.started,debrief_text.started,key_debrief.started,debrief_text.stopped,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
images/grating_10.jpeg,agree,80.0,13,3,1,91.0,6.030089166015387,space,5.4264857498928905,None,89.0,5.063574583036825,None,,,1,3,13,9,211.5888744581025,,,,,,,,,211.5821497500874,211.5888744581025,212.56201545801014,213.55966675002128,214.051616624929,214.55133525002748,218.98805933305994,91.0,6.030089166015387,space,5.4264857498928905,None,218.9908522919286,218.99643558310345,221.97952537494712,222.01197954197414,222.01971958298236,222.98060954199173,223.9809893751517,225.48380887508392,225.9724762919359,227.0808858331293,89.0,5.063574583036825,None,222.01971958298236,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_03.jpeg,agree,80.0,14,4,1,59.0,10.939260042039678,space,12.582358916988596,None,61.0,4.798017582856119,None,,,1,4,14,2,227.09830850013532,,,,,,,,,227.09208450000733,227.09830850013532,228.07221912499517,229.07529466692358,229.57312549999915,230.0669525419362,241.65894054202363,59.0,10.939260042039678,space,12.582358916988596,None,241.6590207500849,241.6630535000004,244.64878654200584,244.66821229201742,244.67799420794472,245.6579172499478,246.65738941705786,248.14821266708896,248.65584041713737,249.47232650010847,61.0,4.798017582856119,None,244.67799420794472,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_08.jpeg,agree,70.0,15,5,1,None,None,space,2.61510454188101,None,29.0,4.117513250093907,None,,,1,5,15,7,249.49782862514257,,,,,,,,,249.49099775007926,249.49782862514257,250.46413491712883,251.46608599997126,251.966280749999,252.45685133314691,254.08516704197973,None,None,space,2.61510454188101,None,254.08823200012557,254.09460845799185,257.0808890420012,257.11162954196334,257.12048129201867,258.07839616714045,259.076889625052,260.57990604196675,261.06821125000715,261.23492941702716,29.0,4.117513250093907,None,257.12048129201867,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_09.jpeg,disagree,50.0,16,6,1,25.0,4.093898208113387,space,7.43948612594977,None,22.0,3.7926967090461403,None,,,1,6,16,8,261.2480526671279,,,,,,,,,261.2417526249774,261.2480526671279,262.2291995829437,263.2271804169286,263.72707291692495,264.2280991249718,270.6692273330409,25.0,4.093898208113387,space,7.43948612594977,None,270.671949832933,270.6770279170014,273.66424858313985,273.67857729201205,273.6885820000898,274.6596645419486,275.66004916699603,277.16168508306146,,277.47741558309644,22.0,3.7926967090461403,None,273.6885820000898,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_07.jpeg,neutral,65.0,17,7,1,28.0,4.3920315420255065,space,5.456728500081226,None,49.0,3.836854208027944,None,,,1,7,17,6,277.502690250054,,,,,,,,,277.49579900014214,277.502690250054,278.47649779194035,279.46865024999715,279.96870495798066,280.4681642919313,284.9304451670032,28.0,4.3920315420255065,space,5.456728500081226,None,284.93311941693537,284.93903579213656,287.92341370810755,287.9566524999682,287.96481558308005,288.92446595802903,289.922529875068,291.4224610419478,,291.79965729196556,49.0,3.836854208027944,None,287.96481558308005,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_06.jpeg,neutral,50.0,18,8,1,46.0,5.6239344999194145,space,5.189562124898657,None,61.0,4.350915875053033,None,,,1,8,18,5,291.82416125014424,,,,,,,,,291.8183703329414,291.82416125014424,292.79723133309744,293.78915012511425,294.28946479200386,294.7887047920376,298.9851706251502,46.0,5.6239344999194145,space,5.189562124898657,None,298.987999917008,298.9940260001458,301.98723462503403,302.0200558330398,302.0290718751494,302.9760105421301,303.9804001250304,305.4795724579599,305.96824424993247,306.3764682081528,61.0,4.350915875053033,None,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_02.jpeg,disagree,20.0,19,9,1,6.0,2.9715726249851286,space,4.79341791709885,None,13.0,4.0877040000632405,None,,,1,9,19,1,306.3943808749318,,,,,,,,,306.38810658315197,306.3943808749318,307.36883575003594,308.36774799996056,308.86816175002605,309.35915099992417,313.17235079198144,6.0,2.9715726249851286,space,4.79341791709885,None,313.1750293751247,313.1807875421364,316.16482991701923,316.18325312505476,316.1925401671324,317.170693583088,318.17169341701083,319.6699373750016,320.16790616698563,320.27658162498847,13.0,4.0877040000632405,None,316.1925401671324,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_09.jpeg,disagree,50.0,20,0,2,5.0,3.8613022919744253,space,8.132124167168513,None,14.0,3.383962291991338,None,,,2,0,20,8,320.2893553751055,,,,,,,,,320.28300704201683,320.2893553751055,321.27008745796047,322.2686325421091,322.7681483749766,323.2600843331311,330.4039902079385,5.0,3.8613022919744253,space,8.132124167168513,None,330.4067416249309,330.41242166701704,333.3985970420763,333.4128909581341,333.4231575829908,334.401644583093,335.4013105421327,,,336.8024081250187,14.0,3.383962291991338,None,333.4231575829908,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_01.jpeg,neutral,50.0,21,1,2,9.0,7.133807708974928,space,6.620830958941951,None,33.0,6.0243417921010405,None,,,2,1,21,0,336.83983395807445,,,,,,,,,336.8331181250978,336.83983395807445,337.7972527500242,338.80119975004345,339.3000129580032,339.78879950009286,345.42576158302836,9.0,7.133807708974928,space,6.620830958941951,None,345.42584108305164,345.4311953750439,348.4175302919466,348.46689125010744,348.4738760420587,349.42249829205684,350.4221305421088,351.9143679169938,352.41439758311026,354.49754250003025,33.0,6.0243417921010405,None,348.4738760420587,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
images/grating_10.jpeg,agree,80.0,22,2,2,63.0,3.075881625059992,space,4.574111083056778,None,77.0,3.6250145831145346,None,,,2,2,22,9,354.52335775014944,,,,,,,,,354.5165208331309,354.52335775014944,355.4888860830106,356.489153750008,356.9924554170575,357.48354262509383,361.0668701250106,63.0,3.075881625059992,space,4.574111083056778,None,361.0694718749728,361.0748269171454,364.06777804205194,364.1020062081516,364.1103382080328,365.061789667001,366.05975370807573,367.5631192079745,,367.7360644170549,77.0,3.6250145831145346,None,,,,,,,,,,,,004,001,2025-11-18_16h40.00.482,Social Echo ,,2025.1.1,None,2025-11-18 16h40.09.345343 +0530,
