delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,trials.textbox.text,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.4,1000,exp,28,4,2,space,0.6815422920044512,None,250,1,[3.30773054191377],[3.3077335419366136],2,4,28,7,193.47946004197001,,193.46876987500582,193.47946004197001,194.4671197499847,194.4671197499847,194.472788708983,195.15252400003374,space,0.6815422920044512,None,195.15411200001836,195.5539485416996,195.86438566702418,195.85119620908517,195.85395100002643,195.86438566702418,195.86438566702418,195.86438566702418,199.17229858401697,250,1,[3.30773054191377],[3.3077335419366136],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,29,5,2,space,0.38593341689556837,None,750,1,[7.697484375094064],[7.697487250086851],2,5,29,9,199.17561691708397,,199.17247637500986,199.17561691708397,200.16963154205587,200.16963154205587,200.16963154205587,200.56666104204487,space,0.38593341689556837,None,200.56845454208087,200.67280575068824,200.97456087497994,200.95970962499268,200.96182708407287,200.97456087497994,200.97456087497994,200.97456087497994,208.67223179200664,750,1,[7.697484375094064],[7.697487250086851],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,400,unexp,30,6,2,space,1.4910871669417247,None,800,1,[3.60131029097829],[3.6013133329106495],2,6,30,0,208.67518041701987,,208.6723741670139,208.67518041701987,209.6632053339854,209.6632053339854,209.6632053339854,211.16817275003996,space,1.4910871669417247,None,211.16971712501254,211.26934579172328,211.57754641701467,211.5619023339823,211.56424425006844,211.57754641701467,211.57754641701467,211.57754641701467,215.17904775007628,800,1,[3.60131029097829],[3.6013133329106495],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,31,7,2,space,2.8851621670182794,None,900,1,[5.123890749993734],[5.1238937500165775],2,7,31,3,215.18503975006752,,215.17922270903364,215.18503975006752,216.17507304204628,216.17507304204628,216.17507304204628,219.06714208400808,space,2.8851621670182794,None,219.06860416708514,219.17424083367612,219.47731912496965,219.4619024170097,219.4637675420381,219.47731912496965,219.47731912496965,219.47731912496965,224.60139979200903,900,1,[5.123890749993734],[5.1238937500165775],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,400,unexp,32,8,2,space,0.34824404201935977,None,0,1,[8.500410542008467],[8.500414249952883],2,8,32,1,224.61197500000708,,224.60158108407632,224.61197500000708,225.5996801670408,225.5996801670408,225.6053545420291,225.9539426669944,space,0.34824404201935977,None,225.95562020898797,226.36503450066473,226.6678262919886,226.65566024999134,226.65746491705067,226.6678262919886,226.6678262919886,226.6678262919886,235.16843195899855,0,1,[8.500410542008467],[8.500414249952883],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,33,9,2,space,0.5149527090834454,None,350,1,[4.980239791912027],[4.980242624995299],2,9,33,5,235.1778291669907,,235.16861925006378,235.1778291669907,236.1587620000355,236.1587620000355,236.1802906669909,236.67828195902985,space,0.5149527090834454,None,236.6798676670296,237.3886890836914,237.690419459017,237.67632279207464,237.67824337503407,237.690419459017,237.690419459017,237.690419459017,242.67085404205136,350,1,[4.980239791912027],[4.980242624995299],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,400,unexp,34,10,2,space,0.5472861259477213,None,900,1,[2.057477790978737],[2.0574805409414694],2,10,34,2,242.67694429203402,,242.67103087506257,242.67694429203402,243.6712154999841,243.6712154999841,243.6712154999841,244.23331958404742,space,0.5472861259477213,None,244.23495483398438,244.933607083691,245.2352565000765,245.2215923339827,245.22324954206124,245.2352565000765,245.2352565000765,245.2352565000765,247.29292070900556,900,1,[2.057477790978737],[2.0574805409414694],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,35,11,2,space,1.1402797090122476,None,300,1,[2.214964415994473],[2.214967541047372],2,11,35,10,247.30334487499204,,247.29308937501628,247.30334487499204,248.2891045419965,248.2891045419965,248.29510387498885,249.4400978750782,space,1.1402797090122476,None,249.44186608400196,249.8421115837448,250.1534516250249,250.13739575003274,250.1396840000525,250.1534516250249,250.1534516250249,250.1534516250249,252.36862070905045,300,1,[2.214964415994473],[2.214967541047372],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,36,0,3,space,2.1697902089217678,None,400,1,[1.1204742909176275],[1.120476832962595],3,0,36,5,252.38011729205027,,252.36878725001588,252.38011729205027,253.36350483400747,253.36350483400747,253.36784541700035,255.5370573750697,space,2.1697902089217678,None,255.53860425006133,256.23639129166645,256.55161133408546,256.5361658750335,256.53853708400857,256.55161133408546,256.55161133408546,256.55161133408546,257.6722617089981,400,1,[1.1204742909176275],[1.120476832962595],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,400,unexp,37,1,3,space,0.03561720799189061,None,500,1,[1.8202226660214365],[1.820225749979727],3,1,37,0,257.6745212500682,,257.67243525001686,257.6745212500682,258.6705254170811,258.6705254170811,258.6705254170811,258.7121581250103,space,0.03561720799189061,None,258.7131137920078,258.8157779166397,259.1179855420487,259.1048063749913,259.106842334033,259.1179855420487,259.1179855420487,259.1179855420487,260.9383873749757,500,1,[1.8202226660214365],[1.820225749979727],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,38,2,3,space,0.7832810420077294,None,670,1,[2.7470906249945983],[2.7470933340955526],3,2,38,7,260.9419019590132,,260.93852754205,260.9419019590132,261.92682029202115,261.92682029202115,261.9396279170178,262.71766829199623,space,0.7832810420077294,None,262.71925891702995,263.11704166670484,263.42105691705365,263.4076403339859,263.40888958401047,263.42105691705365,263.42105691705365,263.42105691705365,266.16835266700946,670,1,[2.7470906249945983],[2.7470933340955526],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,39,3,3,space,1.0208897920092568,None,800,1,[1.9763466250151396],[1.976349417003803],3,3,39,4,266.1784316250123,,266.1685302500846,266.1784316250123,267.1631139169913,267.1631139169913,267.16719299997203,268.1916567500448,space,1.0208897920092568,None,268.19371295906603,268.5992220836381,268.90331149997655,268.8898014590377,268.89140554203186,268.90331149997655,268.90331149997655,268.90331149997655,270.8798505840823,800,1,[1.9763466250151396],[1.976349417003803],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,40,4,3,space,0.5651309589156881,None,100,1,[2.7994436669396237],[2.7994465419324115],3,4,40,9,270.8834290000377,,270.87999679206405,270.8834290000377,271.8787483749911,271.8787483749911,271.8787483749911,272.4509323340608,space,0.5651309589156881,None,272.45257633400615,272.5554230417513,272.85574650007766,272.84235591697507,272.8441257090308,272.85574650007766,272.85574650007766,272.85574650007766,275.65537975006737,100,1,[2.7994436669396237],[2.7994465419324115],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,400,unexp,41,5,3,space,0.3314840419916436,None,400,1,[1.3666415000334382],[1.3666444999398664],3,5,41,2,275.6588434589794,,275.6555478340015,275.6588434589794,276.6533045420656,276.6533045420656,276.6533045420656,276.9935376669746,space,0.3314840419916436,None,276.9950313339941,277.6988270837503,278.00166370905936,277.98612554208376,277.9882065000711,278.00166370905936,278.00166370905936,278.00166370905936,279.36850466707256,400,1,[1.3666415000334382],[1.3666444999398664],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.1,1000,exp,42,6,3,space,1.0697785000083968,None,100,1,[1.625127000035718],[1.6251315830741078],3,6,42,6,279.3782319170423,,279.3686622499954,279.3782319170423,280.36484654201195,280.36484654201195,280.3699749590596,281.4406581670046,space,1.0697785000083968,None,281.4421298750676,281.54112562566684,281.8512775420677,281.8371394170681,281.83937566704117,281.8512775420677,281.8512775420677,281.8512775420677,283.47660195897333,100,1,[1.625127000035718],[1.6251315830741078],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,1000,exp,43,7,3,space,0.4984367920551449,None,200,1,[1.70801745809149],[1.7080205830279738],3,7,43,10,283.4869694170775,,283.4767627500696,283.4869694170775,284.4730791670736,284.4730791670736,284.47826562507544,284.9763354170136,space,0.4984367920551449,None,284.9782220419729,285.38224050071244,285.67865137499757,285.670900875004,285.6712231669808,285.67865137499757,285.67865137499757,285.67865137499757,287.3868718340527,200,1,[1.70801745809149],[1.7080205830279738],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.4,400,unexp,44,8,3,space,0.29624033300206065,None,300,1,[1.2541164580034092],[1.25411904102657],3,8,44,1,287.3934380420251,,287.3870318750851,287.3934380420251,288.3842872920213,288.3842872920213,288.3842872920213,288.69144495902583,space,0.29624033300206065,None,288.69319133402314,289.09898379171887,289.407693709014,289.3928397500422,289.39495462505147,289.407693709014,289.407693709014,289.407693709014,290.6619976670481,300,1,[1.2541164580034092],[1.25411904102657],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
0.7,1000,exp,45,9,3,space,0.4584911250276491,None,200,1,[1.95338591595646],[1.9533894159831107],3,9,45,11,290.6723274170654,,290.662138542044,290.6723274170654,291.6508452499984,291.6508452499984,291.666905292077,292.1241378750419,space,0.4584911250276491,None,292.1262191249989,292.8253015836856,293.12709112500306,293.1121559999883,293.11456825002097,293.12709112500306,293.12709112500306,293.12709112500306,295.08067754202057,200,1,[1.95338591595646],[1.9533894159831107],001,001,2025-11-11_12h06.03.542,Intentional_binding,,2025.1.1,None,2025-11-11 12h06.08.769985 +0530,
