stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,feedback_text.stopped,Feedback.stopped,ReRating.started,slider_final.started,stim_image2.started,key_resp_2.started,rating_prompt2.started,stim_image2.stopped,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,Debrief.started,debrief_text.started,key_debrief.started,debrief_text.stopped,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
images/grating_08.jpeg,agree,70.0,49,9,4,41.0,1.9438753749709576,space,2.817465417087078,None,39.0,3.2354726667981595,None,4,9,49,7,488.43511991691776,,,,,,,,,488.4280804588925,488.43511991691776,489.40687841689214,490.404263000004,490.89806666690856,491.3976534169633,493.2332318339031,41.0,1.9438753749709576,space,2.817465417087078,None,493.2360265839379,493.24213879182935,496.2691191670019,496.2276834170334,496.26018316694535,496.2691191670019,497.2265675838571,498.22534954198636,,,499.5014977499377,39.0,3.2354726667981595,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_10.jpeg,agree,80.0,50,0,5,70.0,3.7552299581002444,space,2.039103667018935,None,79.0,2.38679925003089,None,5,0,50,9,499.5277142499108,,,,,,,,,499.5213680418674,499.5277142499108,500.49259941698983,501.4924494998995,502.00031308387406,502.4871934168041,503.5363105419092,70.0,3.7552299581002444,space,2.039103667018935,None,503.5391202089377,503.54488520883024,506.5642109999899,506.5274719998706,506.55518099991605,506.5642109999899,507.53346254187636,508.5344057090115,,,508.9513955418952,79.0,2.38679925003089,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_04.jpeg,agree,70.0,51,1,5,64.0,2.278689250117168,space,1.1903024590574205,None,57.0,2.170733083039522,None,5,1,51,3,508.992392124841,,,,,,,,,508.9854054588359,508.992392124841,509.9463071669452,510.94928224990144,511.4463727918919,511.93953345902264,512.1498492090032,64.0,2.278689250117168,space,1.1903024590574205,None,512.1523477088194,512.1578950840048,,515.1518834168091,515.2009886249434,515.208790833829,516.1466795420274,517.14600349986,,,517.381210958818,57.0,2.170733083039522,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_03.jpeg,agree,80.0,52,2,5,57.0,2.1317699998617172,space,2.444326792145148,None,76.0,2.9884587498381734,None,5,2,52,2,517.3987420839258,,,,,,,,,517.3926026669797,517.3987420839258,518.3810799589846,519.3795825839043,519.8710207918193,520.3715980839916,521.8299267918337,57.0,2.1317699998617172,space,2.444326792145148,None,521.8325669588521,521.8382057498675,524.8535274588503,524.8252906249836,524.8444309998304,524.8535274588503,525.8209941249806,526.8210581250023,,,527.8385014999658,76.0,2.9884587498381734,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_08.jpeg,agree,70.0,53,3,5,72.0,2.93928641686216,space,2.9554369170218706,None,9.0,2.596786667127162,None,5,3,53,7,527.8635742499027,,,,,,,,,527.8571975838859,527.8635742499027,528.830070334021,529.8291732089128,530.3295649169013,530.8204802919645,532.790870458819,72.0,2.93928641686216,space,2.9554369170218706,None,532.7934288338292,532.7992614998948,535.8250264169183,535.7853973340243,535.8164082919247,535.8250264169183,536.7840522499755,537.7841160839889,,,538.4196695839055,9.0,2.596786667127162,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_06.jpeg,neutral,50.0,54,4,5,9.0,1.637304250150919,space,1.2559429998509586,None,30.0,2.6775135840289295,None,5,4,54,5,538.4449609168805,,,,,,,,,538.4381665419787,538.4449609168805,539.4085780000314,540.408436749829,540.9086168338545,541.4023998749908,541.6703905838076,9.0,1.637304250150919,space,1.2559429998509586,None,541.6729752088431,541.6784459999762,,544.6713631248567,544.7022104170173,544.7111768338364,545.662934291875,546.6659657920245,,,547.3891696250066,30.0,2.6775135840289295,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_05.jpeg,disagree,10.0,55,5,5,51.0,3.302578750066459,space,6.546566792065278,None,9.0,2.327102833194658,None,5,5,55,4,547.4026213749312,,,,,,,,,547.396796667017,547.4026213749312,548.3794662498403,549.3795989169739,549.8831307499204,550.3723919168115,555.9306390839629,51.0,3.302578750066459,space,6.546566792065278,None,555.9333509169519,555.9390011248179,,558.9332374588121,558.947324541863,558.9570797500201,559.9229278338607,560.9219649999868,,,561.2799744999502,9.0,2.327102833194658,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_07.jpeg,neutral,65.0,56,6,5,9.0,2.0759835420176387,space,2.0884022498503327,None,9.0,1.9194751249160618,None,5,6,56,6,561.305435874965,,,,,,,,,561.2986262920313,561.305435874965,562.274493166944,563.2745542088524,563.770916834008,564.2712659589015,565.3664108749945,9.0,2.0759835420176387,space,2.0884022498503327,None,565.3688088338822,565.374496958917,568.4010029998608,568.3607598748058,568.392891791882,568.4010029998608,569.358974874951,,,,570.3177708748262,9.0,1.9194751249160618,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_09.jpeg,disagree,50.0,57,7,5,9.0,2.8616707080509514,space,13.674046459142119,None,11.0,2.563670208211988,None,5,7,57,8,570.3319795839489,,,,,,,,,570.3257160838693,570.3319795839489,571.3120704169851,572.3117009168491,572.8109608339146,573.3111074590124,585.9970434168354,9.0,2.8616707080509514,space,13.674046459142119,None,585.9996558749117,586.0059634589124,589.0166873338167,588.9920633749571,589.007000542013,589.0166873338167,589.9937106668949,590.9933391248342,,,591.5761425418314,11.0,2.563670208211988,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
images/grating_01.jpeg,neutral,50.0,58,8,5,34.0,6.000837249914184,space,7.749061333015561,None,34.0,1.0136901249643415,None,5,8,58,0,591.6137750418857,,,,,,,,,591.6069036249537,591.6137750418857,592.5732668749988,593.5740320000332,594.0732954170089,594.5713608749211,601.3268395420164,34.0,6.000837249914184,space,7.749061333015561,None,601.3268917920068,601.3333969998639,604.3817667919211,604.3246812918223,604.3753414589446,604.3817667919211,605.3245514170267,,,,605.3958803338464,34.0,1.0136901249643415,None,,,,,,,,,002,001,2025-11-18_09h31.07.098,Social Echo ,,2025.1.1,None,2025-11-18 09h31.21.043196 +0530,
