poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,probe.stopped,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
-50,x,32,0,8,x,1,0.6534725000383332,None,8,0,32,0,,,,,83.03321575000882,,,,83.02466925000772,83.03321575000882,84.02307700004894,84.02307700004894,84.02307700004894,84.02307700004894,84.0286850000266,85.01856766699348,85.01856766699348,85.68037033302244,x,1,0.6534725000383332,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,33,1,8,v,1,1.444501333986409,None,8,1,33,1,,,,,85.68756570806727,,,,85.68072179204319,85.68756570806727,86.68041899998207,86.68041899998207,86.68041899998207,86.68041899998207,86.68041899998207,87.67740495805629,87.67740495805629,89.13128979201429,v,1,1.444501333986409,None,88.67388462508097,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,34,2,8,c,0,0.8117582079721615,None,8,2,34,2,,,,,89.13942558306735,,,,89.13192695798352,89.13942558306735,90.12902295798995,90.12902295798995,90.12902295798995,90.12902295798995,90.12902295798995,91.12210266699549,91.12210266699549,91.94709358306136,c,0,0.8117582079721615,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,35,3,8,z,1,0.946118334075436,None,8,3,35,3,,,,,91.954470125027,,,,91.94745520805009,91.954470125027,92.93565654207487,92.93565654207487,92.93565654207487,92.93565654207487,92.95294920809101,93.93672920798417,93.93672920798417,94.89002250006888,z,1,0.946118334075436,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,36,0,9,x,1,0.6652364579495043,None,9,0,36,0,,,,,94.89999079203699,,,,94.89074179204181,94.89999079203699,95.88343733304646,95.88343733304646,95.88343733304646,95.88343733304646,95.89434270805214,96.88744945800863,96.88744945800863,97.55582245800178,x,1,0.6652364579495043,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,37,1,9,v,1,0.8374648749595508,None,9,1,37,1,,,,,97.56345500005409,,,,97.5564974170411,97.56345500005409,98.55563412501942,98.55563412501942,98.55563412501942,98.55563412501942,98.55563412501942,99.55324812501203,99.55324812501203,100.39619837503415,v,1,0.8374648749595508,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,38,2,9,c,0,0.6916536669014022,None,9,2,38,2,,,,,100.40338045801036,,,,100.39660220802762,100.40338045801036,101.3837890829891,101.3837890829891,101.3837890829891,101.3837890829891,101.4014484169893,102.38496512500569,102.38496512500569,103.07827458297834,c,0,0.6916536669014022,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,39,3,9,z,1,0.5610335840610787,None,9,3,39,3,,,,,103.08583870797884,,,,103.07900916703511,103.08583870797884,104.08021120808553,104.08021120808553,104.08021120808553,104.08021120808553,104.08021120808553,105.06745733309072,105.06745733309072,105.63444970804267,z,1,0.5610335840610787,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,40,0,10,x,1,0.7208052090136334,None,10,0,40,0,,,,,105.64549395802896,,,,105.63462195801549,105.64549395802896,106.62635612499435,106.62635612499435,106.62635612499435,106.62635612499435,106.6442809170112,107.63057875004597,107.63057875004597,108.35639512503985,x,1,0.7208052090136334,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,41,1,10,v,1,1.7213293330278248,None,10,1,41,1,,,,,108.36374845798127,,,,108.35682437499054,108.36374845798127,109.35416379198432,109.35416379198432,109.35416379198432,109.35416379198432,109.35416379198432,110.34600187500473,110.34600187500473,112.08073108305689,v,1,1.7213293330278248,None,111.33276725001633,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,42,2,10,c,0,0.6698908749967813,None,10,2,42,2,,,,,112.08854612498544,,,,112.08135908306576,112.08854612498544,113.07165316701867,113.07165316701867,113.07165316701867,113.07165316701867,113.0770775830606,114.07742512505502,114.07742512505502,114.75887762499042,c,0,0.6698908749967813,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,43,3,10,z,1,1.213876917026937,None,10,3,43,3,,,,,114.76698858302552,,,,114.75954945804551,114.76698858302552,115.75476108305156,115.75476108305156,115.75476108305156,115.75476108305156,115.75953829206992,116.75039054208901,116.75039054208901,117.96714974998031,z,1,1.213876917026937,None,117.74312516709324,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,44,0,11,x,1,0.7162808750290424,None,11,0,44,0,,,,,117.97471629199572,,,,117.96763154200744,117.97471629199572,118.95904587500263,118.95904587500263,118.95904587500263,118.95904587500263,118.97053762502037,119.95792491699103,119.95792491699103,120.67580537497997,x,1,0.7162808750290424,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,45,1,11,v,1,0.7967768750386313,None,11,1,45,1,,,,,120.68786737509072,,,,120.6762518750038,120.68786737509072,121.66842650005128,121.66842650005128,121.66842650005128,121.66842650005128,121.68620329198893,122.67128750006668,122.67128750006668,123.4814453329891,v,1,0.7967768750386313,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,46,2,11,c,0,0.5856916669290513,None,11,2,46,2,,,,,123.48896295798477,,,,123.4819047920173,123.48896295798477,124.47518870804925,124.47518870804925,124.47518870804925,124.47518870804925,124.48653695802204,125.48139204201289,125.48139204201289,126.07136325002648,c,0,0.5856916669290513,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,47,3,11,z,1,0.594617126043886,None,11,3,47,3,,,,,126.07802645803895,,,,126.07176100008655,126.07802645803895,127.06242804205976,127.06242804205976,127.06242804205976,127.06242804205976,127.0666335420683,128.06938891706523,128.06938891706523,128.6657343750121,z,1,0.594617126043886,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,48,0,12,x,1,0.5563149590743706,None,12,0,48,0,,,,,128.6758168330416,,,,128.66661262500565,128.6758168330416,129.6645868329797,129.6645868329797,129.6645868329797,129.6645868329797,129.67093733302318,130.66170362499543,130.66170362499543,131.22967262507882,x,1,0.5563149590743706,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,49,1,12,v,1,0.7551763759693131,None,12,1,49,1,,,,,131.23673220805358,,,,131.23008941707667,131.23673220805358,132.22042233298998,132.22042233298998,132.22042233298998,132.22042233298998,132.22525129199494,133.22472150006797,133.22472150006797,133.989364958019,v,1,0.7551763759693131,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,50,2,12,c,0,0.4981060419231653,None,12,2,50,2,,,,,133.99666391708888,,,,133.98971883300692,133.99666391708888,134.97818416706286,134.97818416706286,134.97818416706286,134.97818416706286,134.99548983306158,135.989689250011,135.989689250011,136.49246887501795,c,0,0.4981060419231653,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,51,3,12,z,1,0.6617417510133237,None,12,3,51,3,,,,,136.4997937080916,,,,136.49296170799062,136.4997937080916,137.4869898330653,137.4869898330653,137.4869898330653,137.4869898330653,137.49208791705314,138.48799462500028,138.48799462500028,139.15520337503403,z,1,0.6617417510133237,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,52,0,13,x,1,0.704385417047888,None,13,0,52,0,,,,,139.1654813750647,,,,139.15608325006906,139.1654813750647,140.1543829580769,140.1543829580769,140.1543829580769,140.1543829580769,140.1543829580769,141.15429870807566,141.15429870807566,141.86116566706914,x,1,0.704385417047888,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,53,1,13,v,1,2.7978902920149267,None,13,1,53,1,,,,,141.86771366698667,,,,141.86168779199943,141.86771366698667,142.84967145801056,142.84967145801056,142.84967145801056,142.84967145801056,142.86623600008897,143.85168854205403,143.85168854205403,146.65576358302496,v,1,2.7978902920149267,None,144.84146229200996,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,54,2,13,c,0,0.5756502919830382,None,13,2,54,2,,,,,146.66388175007887,,,,146.65653570799623,146.66388175007887,147.65607866703067,147.65607866703067,147.65607866703067,147.65607866703067,147.65607866703067,148.64585541700944,148.64585541700944,149.23195520800073,c,0,0.5756502919830382,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,55,3,13,z,1,0.548812041990459,None,13,3,55,3,,,,,149.24072491703555,,,,149.23280408303253,149.24072491703555,150.2310187080875,150.2310187080875,150.2310187080875,150.2310187080875,150.2367128750775,151.22862125001848,151.22862125001848,151.78767445799895,z,1,0.548812041990459,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,56,0,14,x,1,0.5404175010044128,None,14,0,56,0,,,,,151.7949898330262,,,,151.78815150004812,151.7949898330262,152.7784709170228,152.7784709170228,152.7784709170228,152.7784709170228,152.7837544999784,153.782994417008,153.782994417008,154.3281264170073,x,1,0.5404175010044128,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,57,1,14,v,1,0.7455249589402229,None,14,1,57,1,,,,,154.3347887500422,,,,154.32857683300972,154.3347887500422,155.32756029209122,155.32756029209122,155.32756029209122,155.32756029209122,155.32756029209122,156.31878512504045,156.31878512504045,157.06989570800215,v,1,0.7455249589402229,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
50,c ,58,2,14,c,0,0.5382835009368137,None,14,2,58,2,,,,,157.07655445800629,,,,157.0704202920897,157.07655445800629,158.06915850006044,158.06915850006044,158.06915850006044,158.06915850006044,158.06915850006044,159.0699871670222,159.0699871670222,159.6218400420621,c,0,0.5382835009368137,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-150,z,59,3,14,z,1,0.6811705830041319,None,14,3,59,3,,,,,159.62884224997833,,,,159.62220929202158,159.62884224997833,160.62117395806126,160.62117395806126,160.62117395806126,160.62117395806126,160.62117395806126,161.61100966704544,161.61100966704544,162.30513329198584,z,1,0.6811705830041319,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
-50,x,60,0,15,x,1,0.5593575419625267,None,15,0,60,0,,,,,162.31399062508717,,,,162.3061356249964,162.31399062508717,163.29312054207548,163.29312054207548,163.29312054207548,163.29312054207548,163.31130879209377,164.29576750006527,164.29576750006527,164.86315183306579,x,1,0.5593575419625267,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
150,v,61,1,15,v,1,0.8990331250242889,None,15,1,61,1,,,,,164.87031054205727,,,,164.86356920807157,164.87031054205727,165.8502543750219,165.8502543750219,165.8502543750219,165.8502543750219,165.86860595806502,166.85302629205398,166.85302629205398,167.75422312505543,v,1,0.8990331250242889,None,,,,,,,,004,001,2025-10-02_17h16.37.874,MotorSequence_learning,,2025.1.1,None,2025-10-02 17h16.55.264395 +0530,
