poss,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,Welcome.started,Welcome.stopped,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials_2.key_resp.keys,trials_2.key_resp.corr,trials_2.key_resp.rt,trials_2.key_resp.duration,Thank_you.started,Thank_you.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
50,c ,90,2,22,z,0,0.354431709041819,None,22,2,90,2,,,,,243.3084941249108,,,,243.3015112079447,243.3084941249108,244.29152079194319,244.29152079194319,244.29152079194319,244.29152079194319,244.29661470791325,245.3016902919626,245.3016902919626,,245.6679458329454,z,0,0.354431709041819,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,91,3,22,z,1,0.6095878760097548,None,22,3,91,3,,,,,245.67637662496418,,,,245.66884558298625,245.67637662496418,246.66724304191303,246.66724304191303,246.66724304191303,246.66724304191303,246.66724304191303,247.65848262491636,247.65848262491636,,248.2786944579566,z,1,0.6095878760097548,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,92,0,23,x,1,0.6756666249129921,None,23,0,92,0,,,,,248.28832837496884,,,,248.27958758291788,248.28832837496884,249.2698221669998,249.2698221669998,249.2698221669998,249.2698221669998,249.27970087493304,250.27528458298184,250.27528458298184,,250.95600920799188,x,1,0.6756666249129921,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,93,1,23,v,1,1.1802490419941023,None,23,1,93,1,,,,,250.96615412493702,,,,250.95619045791682,250.96615412493702,251.94940970791504,251.94940970791504,251.94940970791504,251.94940970791504,251.95489254198037,252.95067162497435,252.95067162497435,253.94828166696243,254.13789804198314,v,1,1.1802490419941023,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,94,2,23,c,0,0.8119176669279113,None,23,2,94,2,,,,,254.1458611249691,,,,254.1386897919001,254.1458611249691,255.13620862492826,255.13620862492826,255.13620862492826,255.13620862492826,255.14293729199562,256.1299045829801,256.1299045829801,,256.94854758295696,c,0,0.8119176669279113,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,95,3,23,z,1,1.192547541926615,None,23,3,95,3,,,,,256.95579074998386,,,,256.94927070790436,256.95579074998386,257.9414106250042,257.9414106250042,257.9414106250042,257.9414106250042,257.94671170797665,258.94224758294877,258.94224758294877,259.9386867498979,260.1464396249503,z,1,1.192547541926615,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-50,x,96,0,24,x,1,0.7847265009768307,None,24,0,96,0,,,,,260.156456333003,,,,260.1473473329097,260.156456333003,261.14268612489104,261.14268612489104,261.14268612489104,261.14268612489104,261.1488274579169,262.1380679999711,262.1380679999711,,262.933871874935,x,1,0.7847265009768307,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
150,v,97,1,24,v,1,0.8532165839569643,None,24,1,97,1,,,,,262.9410344999051,,,,262.9343173329253,262.9410344999051,263.93433829199057,263.93433829199057,263.93433829199057,263.93433829199057,263.93433829199057,264.93242091697175,264.93242091697175,,265.7921382919885,v,1,0.8532165839569643,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
50,c ,98,2,24,c,0,0.682269416982308,None,24,2,98,2,,,,,265.79957558296155,,,,265.7926088749664,265.79957558296155,266.78403108299244,266.78403108299244,266.78403108299244,266.78403108299244,266.78880604193546,267.7893762079766,267.7893762079766,,268.4843501249561,c,0,0.682269416982308,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
-150,z,99,3,24,z,1,0.4771967090200633,None,24,3,99,3,,,,,268.49138424999546,,,,268.4848467078991,268.49138424999546,269.481255916995,269.481255916995,269.481255916995,269.481255916995,269.481255916995,270.4842798329191,270.4842798329191,,270.9702124999603,z,1,0.4771967090200633,None,,,,,,,001,001,2025-10-02_16h31.19.156,MotorSequence_learning,,2025.1.1,None,2025-10-02 16h32.00.776549 +0530,
