stimulus,feedback_type,fake_feedback,thisN,thisTrialN,thisRepN,slider_initial.response,slider_initial.rt,key_resp.keys,key_resp.rt,key_resp.duration,slider_final.response,slider_final.rt,key_resp_2.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,Instruction.started,instr_text.started,instr_key.started,Instruction.stopped,instr_key.keys,instr_key.rt,instr_key.duration,InitialRating.started,slider_initial.started,stim_image.started,key_resp.started,rating_prompt.started,stim_image.stopped,InitialRating.stopped,trials.slider_initial.response,trials.slider_initial.rt,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,Feedback.started,feedback_text.started,Feedback.stopped,ReRating.started,slider_final.started,stim_image2.started,key_resp_2.started,rating_prompt2.started,stim_image2.stopped,ReRating.stopped,trials.slider_final.response,trials.slider_final.rt,trials.key_resp_2.keys,feedback_text.stopped,Debrief.started,debrief_text.started,key_debrief.started,Debrief.stopped,key_debrief.keys,key_debrief.rt,key_debrief.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,0.006677874829620123,0.012162250000983477,0.012162250000983477,18.936702790902928,space,18.750416749855503,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_10.jpeg,agree,80.0,48,8,4,93.0,3.3166921250522137,space,1.6992009170353413,None,88.0,3.010932416887954,None,4,8,48,9,522.760646832874,,,,,,,,,522.7538054159377,522.760646832874,523.7263267498929,524.7282467908226,525.228217124939,525.7182433328126,526.4384872079827,93.0,3.3166921250522137,space,1.6992009170353413,None,526.441072040936,526.4469559157733,529.4411233749706,529.4710357498843,529.4797634577844,530.4315634157974,531.4307137909345,,,532.4886111658998,88.0,3.010932416887954,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_06.jpeg,neutral,50.0,49,9,4,23.0,4.794295124942437,space,3.0104583750944585,None,20.0,3.2447918329853565,None,4,9,49,5,532.514398082858,,,,,,,,,532.5076086248737,532.514398082858,533.4827298328746,534.4817613749765,534.9805770409293,535.4818034998607,537.5011081248522,23.0,4.794295124942437,space,3.0104583750944585,None,537.5037057909649,537.5096113327891,540.4954085408244,540.5257627498358,540.5343432908412,541.4931443328969,542.4933043329511,,,543.7767362499144,20.0,3.2447918329853565,None,540.5343432908412,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_01.jpeg,neutral,50.0,50,0,5,16.0,2.5637754590716213,space,0.7035280831623822,None,19.0,2.8186859998386353,None,5,0,50,0,543.8174676247872,,,,,,,,,543.8107417079154,543.8174676247872,544.7742654159665,545.7724738328252,546.2723537909333,,546.4816857909318,16.0,2.5637754590716213,space,0.7035280831623822,None,546.4817454998847,546.4922961657867,549.477631415939,549.5324064157903,549.5405003328342,550.4793135409709,551.4764856249094,,,552.3610344578046,19.0,2.8186859998386353,None,549.5405003328342,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_09.jpeg,disagree,50.0,51,1,5,10.0,2.6896660409402102,space,9.547413376159966,None,4.0,7.077327833045274,None,5,1,51,8,552.3762896659318,,,,,,,,,552.3700222498737,552.3762896659318,553.3533366248012,554.3518919579219,554.8531951250043,555.3428137907758,563.9053372498602,10.0,2.6896660409402102,space,9.547413376159966,None,563.9054078329355,563.9106453747954,566.899644457968,566.9155381659511,566.9257789158728,567.9008507907856,568.9029195408802,570.4011667908635,570.8951467908919,574.0026647078339,4.0,7.077327833045274,None,566.9257789158728,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_10.jpeg,agree,80.0,52,2,5,96.0,5.2504912910517305,space,17.814996625995263,None,92.0,3.109788332832977,None,5,2,52,9,574.027350124903,,,,,,,,,574.0208823329303,574.027350124903,574.9929874578957,576.0018893328961,576.50175845786,576.9868468749337,593.8213844578713,96.0,5.2504912910517305,space,17.814996625995263,None,593.8239879158791,593.8298051247839,596.822804707801,596.8550022079144,596.8638168328907,597.8161386658903,598.814496624982,,,599.9751972910017,92.0,3.109788332832977,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_03.jpeg,agree,80.0,53,3,5,76.0,2.6380059998482466,space,1.5790559998713434,None,71.0,2.4860658750403672,None,5,3,53,2,599.9929977909196,,,,,,,,,599.9867314998992,599.9929977909196,600.9642295408994,601.9639130409341,602.4740079999901,602.9584375829436,603.5498334157746,76.0,2.6380059998482466,space,1.5790559998713434,None,603.5499103749171,603.5555491659325,606.5448482499924,606.563593832776,606.5730252079666,607.5470612079371,608.5468143748585,,,609.0555504160002,71.0,2.4860658750403672,None,606.5730252079666,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_05.jpeg,disagree,10.0,54,4,5,7.0,3.380763875087723,space,2.4265505839139223,None,5.0,2.3574158328119665,None,5,4,54,4,609.0688225408085,,,,,,,,,609.0624444577843,609.0688225408085,610.0508886249736,611.0465427909512,611.5495118328836,612.0495099159889,613.476492082933,7.0,3.380763875087723,space,2.4265505839139223,None,613.479067124892,613.4851673748344,616.4783529578708,616.4924042078201,616.5024512908421,617.4755638327915,618.4740659999661,,,618.8557415828109,5.0,2.3574158328119665,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_08.jpeg,agree,70.0,55,5,5,5.0,12.30112124979496,space,10.700069959042594,None,17.0,7.157731250161305,None,5,5,55,7,618.8813712080009,,,,,,,,,618.874432832934,618.8813712080009,619.8470023327973,620.8492478749249,621.3485520409886,621.8419222498778,631.5561479157768,5.0,12.30112124979496,space,10.700069959042594,None,631.5586896659806,631.5641402909532,634.5536988747772,634.5859460409265,634.5947193328757,635.5518162499648,636.5508914999664,638.0531956658233,638.5428742908407,641.7537259159144,17.0,7.157731250161305,None,634.5947193328757,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_04.jpeg,agree,70.0,56,6,5,67.0,2.9311719161923975,space,2.475635292008519,None,51.0,7.612434916896746,None,5,6,56,3,641.7927170409821,,,,,,,,,641.7859200828243,641.7927170409821,642.747177290963,643.7509257078636,644.2504212497734,644.73842104082,646.2312338748015,67.0,2.9311719161923975,space,2.475635292008519,None,646.2312992908992,646.2419971248601,649.2277737078257,649.2773250828031,649.2852683328092,650.2220837909263,651.2218749998137,652.7253094578627,653.2141872909851,656.9000094998628,51.0,7.612434916896746,None,649.2852683328092,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_07.jpeg,neutral,65.0,57,7,5,19.0,2.309486874844879,space,1.8896958760451525,None,33.0,2.527933083008975,None,5,7,57,6,656.9276861248072,,,,,,,,,656.9208687078208,656.9276861248072,657.899223457789,658.8988807499409,659.3988363749813,659.8986270409077,660.8002186659724,19.0,2.309486874844879,space,1.8896958760451525,None,660.8029959159903,660.8089622908738,663.8019686248153,663.8351420830004,663.8436491249595,664.7955329997931,665.7945147079881,,,666.36863054079,33.0,2.527933083008975,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_06.jpeg,neutral,50.0,58,8,5,21.0,3.3502176250331104,space,1.8291024169884622,None,13.0,2.522706165909767,None,5,8,58,5,666.3944207078312,,,,,,,,,666.3874349999242,666.3944207078312,667.3614010829479,668.3595082908869,668.8594775828533,669.3512697909027,670.1935448748991,21.0,3.3502176250331104,space,1.8291024169884622,None,670.1959340828471,670.2015938749537,673.1878084999043,673.2187443329021,673.2277306658216,674.1886961248238,675.1890307909343,,,675.7471109998878,13.0,2.522706165909767,None,673.2277306658216,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
images/grating_02.jpeg,disagree,20.0,59,9,5,39.0,14.291001375066116,space,13.136146417120472,None,13.0,2.4454884158913046,None,5,9,59,1,675.7655626249034,,,,,,,,,675.7590931658633,675.7655626249034,676.7399045829661,677.7384247907903,678.2388218329288,678.7318929578178,690.8846208329778,39.0,14.291001375066116,space,13.136146417120472,None,690.887271540938,690.893453624798,693.8873464998323,693.9066764158197,693.9166239998303,694.8787612908054,695.8771403329447,,,696.3618158327881,13.0,2.4454884158913046,None,,,,,,,,,003,001,2025-11-18_11h43.31.743,Social Echo ,,2025.1.1,None,2025-11-18 11h43.40.734047 +0530,
