stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,1.0,14.064140125003178,,14.061447999993106,14.064140125003178,14.549827499999083,14.549827499999083,14.56170912500238,14.84498170799634,15.188649125004304,left,-1.0,0,0,0.6311379580001812,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
13,1,2.0,15.19862270799058,,15.189167666001595,15.19862270799058,15.686481540993555,15.686481540993555,15.690464083003462,15.987020665997989,16.44005770799413,left,-2.0,1,1,0.7493411670002388,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
14,1,2.0,16.44867683299526,,16.440693750002538,16.44867683299526,16.937007749991608,16.937007749991608,16.944869208004093,17.223647291000816,17.413748457998736,right,2.0,1,1,0.47281937599473167,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
15,1,2.0,17.42359429100179,,17.414239082994754,17.42359429100179,17.909731416002614,17.909731416002614,17.91419749999477,18.211429415998282,18.738843290993827,left,-2.0,1,1,0.8230994170007762,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
16,1,1.0,18.74415237500216,,18.739122250000946,18.74415237500216,19.23155595800199,19.23155595800199,19.24515537499974,19.52825745799055,19.880120707995957,left,-1.0,1,1,0.6412548340013018,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
17,1,1.0,19.88874374999432,,19.880584625003394,19.88874374999432,20.377958582990686,20.377958582990686,20.381313499994576,20.678654040995752,20.9971038329968,left,-1.0,1,1,0.6088122919900343,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
18,1,1.0,21.00609179100138,,20.997660833003465,21.00609179100138,21.492784165995545,21.492784165995545,21.497543833000236,21.79533370799618,22.12684454099508,right,1.0,1,1,0.6319650420045946,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
19,1,1.0,22.13199379100115,,22.12736795800447,22.13199379100115,22.61689312499948,22.61689312499948,22.623355207993882,22.919716290998622,23.146909624992986,left,-1.0,1,1,0.5228825840022182,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
20,0.5,1.0,23.15513749999809,,23.14740320800047,23.15513749999809,23.644968374996097,23.644968374996097,23.649051915999735,23.94496754099964,24.497435915996903,left,-1.0,0,0,0.8467642920004437,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
21,0.5,1.5,24.50599033299659,,24.49803620799503,24.50599033299659,24.9950450000033,24.9950450000033,25.003111375001026,25.282561624990194,25.54832591599552,right,1.5,0,0,0.5395939169975463,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
